company_name,company_number,category,website
КоКо,+7 (900) 001-29-41,Салоны красоты,[],Сочи
Георгий Кот,+7 (918) 913-15-18,Салоны красоты,http://g-kot.com/,Сочи
Lashbar,+7 (918) 078-00-14,Салоны красоты,https://lashbarsochi.ru/,Сочи
Mon Salon Sochi,+7 (939) 000-09-89,Салоны красоты,https://monsalon-sochi.ru/,Сочи
Dari Dalss,+7 (918) 619-80-80,Салоны красоты,https://dariadalss.ru/,Сочи
Sense of Beauty,+7 (967) 325-00-55,Салоны красоты,http://sense-of-beauty.ru/,Сочи
MyBeautyCafe,+7 (988) 233-38-82,Салоны красоты,http://www.mbcsochi.ru/,Сочи
Ева,+7 (473) 251-25-25,Салоны красоты,https://taplink.cc/beauty_salon_eva,Сочи
Natali,+7 (473) 203-06-00,Салоны красоты,[],Сочи
Preslife,+7 (920) 221-86-70,Косметология,http://preslife.ru/,Сочи
Авеню,+7 (919) 242-24-31,Салоны красоты,http://zagar-vrn.ru/?utm_medium=срс&utm_source=яндекс-карточка,Сочи
Lifantii nails,+7 (951) 861-07-95,Салоны красоты,https://taplink.cc/lifantiinails,Сочи
Shelkovisto,+7 (999) 721-52-01,Косметология,http://shelkovisto.ru/,Сочи
Natali,+7 (473) 203-01-38,Салоны красоты,http://natalivrn.ru/,Сочи
Лица,+7 (920) 407-69-97,Салоны красоты,[],Сочи
Peony,+7 (473) 335-05-05,Салоны красоты,[],Сочи
Кстати,+7 (980) 232-88-80,Салоны красоты,[],Сочи
Darwin,+7 (920) 455-56-60,Салоны красоты,[],Сочи
Sunny Land,+7 (967) 329-17-77,Салоны красоты,[],Сочи
Мария,+7 (918) 103-83-57,Парикмахерские,[],Сочи
Rise,+7 (999) 650-15-51,Парикмахерские,https://rise-sochi.ru/,Сочи
Галерея стиля,+7 (918) 916-36-61,Салоны красоты,[],Сочи
Анаида,+7 (918) 181-97-72,Салоны красоты,[],Сочи
Креатив,+7 (918) 007-06-09,Салоны красоты,[],Сочи
Grushka,+7 (963) 163-50-30,Салоны красоты,https://sochi.grushka.space/,Сочи
Prime,+7 (918) 205-77-74,Салоны красоты,[],Сочи
Аида,+7 (918) 208-55-27,Салоны красоты,[],Сочи
Имидж,+7 (989) 161-44-04,Салоны красоты,[],Сочи
Good Лак Studio,+7 (988) 500-02-26,Салоны красоты,https://dikidi.net/559027,Сочи
Розовый единорог,+7 (938) 458-88-75,Салоны красоты,[],Сочи
Пространство by Pirania,+7 (967) 320-20-10,Салоны красоты,http://prostranstvobypirania.ru/,Сочи
Гармония,+7 (988) 145-60-80,Салоны красоты,[],Сочи
Цитрус,+7 (988) 237-76-50,Салоны красоты,http://www.citrussochi.com/,Сочи
Арт-студия,+7 (862) 255-06-06 (доб. +79882385911),Салоны красоты,[],Сочи
Enigma,+7 (989) 757-57-95,Салоны красоты,[],Сочи
Фен Express,+7 (908) 688-98-03,Салоны красоты,[],Сочи
Shans. U Studio,+7 (988) 158-00-48,Салоны красоты,[],Сочи
Мастер и Маргарита,+7 (993) 322-88-60,Салоны красоты,[],Сочи
Ol Beauty,+7 (938) 496-83-88,Салоны красоты,https://ol-beauty.clients.site/,Сочи
Alina Kazaryan,+7 (988) 144-94-88,Салоны красоты,[],Сочи
Силуянов,8 (800) 201-94-70,Салоны красоты,[],Сочи
Cosmo Beauty,+7 (928) 454-09-09,Салоны красоты,[],Сочи
Best,+7 (918) 307-36-35,Салоны красоты,[],Сочи
Lucky nails,+7 (989) 279-70-00,Салоны красоты,[],Сочи
Парикмахерская для всей семьи,+7 (988) 283-51-44,Салоны красоты,[],Сочи
Capricco,+7 (918) 408-38-78,Салоны красоты,[],Сочи
Blossom,+7 (922) 449-88-99,Салоны красоты,[],Сочи
Nail Mania,+7 (988) 411-41-91,Салоны красоты,[],Сочи
Hamaza Studio,+7 (928) 451-94-84,Салоны красоты,[],Сочи
Царица,+7 (988) 505-60-40,Парикмахерские,[],Сочи
Paul Mitchell,+7 (918) 205-45-77,Парикмахерские,https://paulmitchell-sochi.ru/,Сочи
Мари,+7 (965) 467-86-16,Салоны красоты,[],Сочи
Сад by Bergs,+7 (918) 919-70-57,Салоны красоты,https://hotelbergs.ru/sad,Сочи
Pion,+7 (918) 368-11-88,Салоны красоты,[],Сочи
Натюрель,+7 (862) 264-04-21,Салоны красоты,[],Сочи
Sidenkova proBeauty,+7 (938) 438-85-13,Салоны красоты,https://sidenkova-probeauty.clients.site/,Сочи
M Studio,+7 (966) 777-28-68,Салоны красоты,[],Сочи
Saint Place,+7 (989) 759-15-15,Салоны красоты,[],Сочи
Кудряшка Сью,+7 (928) 450-82-82,Салоны красоты,[],Сочи
Фрау Гуд,+7 (862) 261-25-92,Салоны красоты,[],Сочи
Beauty time,+7 (988) 236-48-42,Салоны красоты,[],Сочи
Юг-style Studio,+7 (928) 456-86-08,Салоны красоты,http://ustylestudio.ru/,Сочи
Эффект,+7 (928) 448-38-35,Салоны красоты,[],Сочи
Хамелеон,+7 (965) 484-56-82,Салоны красоты,[],Сочи
Secret Room,+7 (918) 005-82-14,Салоны красоты,[],Сочи
Victoria Didenco,+7 (988) 235-11-35,Салоны красоты,[],Сочи
Mary & Art,+7 (918) 305-29-19,Салоны красоты,[],Сочи
Формула красоты,+7 (918) 405-44-14,Салоны красоты,[],Сочи
Пудра,+7 (988) 238-58-18,Салоны красоты,[],Сочи
Miva studio,+7 (963) 476-70-07,Салоны красоты,https://estetika-krasoty.obiz.ru/,Сочи
New look,+7 (988) 237-29-72,Салоны красоты,[],Сочи
Nice Nails,+7 (918) 614-72-92,Салоны красоты,[],Сочи
Ваш салон,+7 (918) 611-64-42,Парикмахерские,[],Сочи
ПроНогти,+7 (995) 612-99-88,Салоны красоты,[],Сочи
Салон красоты,+7 (918) 903-16-86,Салоны красоты,[],Сочи
Локон,+7 (862) 254-74-70,Салоны красоты,[],Сочи
Mon Ami,+7 (988) 235-15-16,Салоны красоты,[],Сочи
Loft,+7 (988) 151-63-37,Салоны красоты,[],Сочи
Royal,+7 (988) 508-99-11,Салоны красоты,[],Сочи
Beauty Paradise,+7 (999) 657-77-71,Салоны красоты,[],Сочи
Laser&воск,+7 (988) 233-97-20,Салоны красоты,http://depilacia-sochi.ru/,Сочи
Ручки & Ножки,+7 (862) 291-00-14,Ногтевые студии,http://runo.site/,Сочи
Ваш стиль,+7 (988) 236-42-00,Салоны красоты,[],Сочи
Триумф,+7 (918) 032-21-83,Салоны красоты,https://salontriumfsochi.tilda.ws/,Сочи
Beauty and SPA Bioline JaTo,+7 (928) 445-30-10,Салоны красоты,[],Сочи
Urban by Alina Shurinova,+7 (962) 889-62-93,Салоны красоты,[],Сочи
Мастерская красоты,+7 (988) 156-63-78,Парикмахерские,[],Сочи
Боди студио,+7 (988) 507-81-11,Салоны красоты,https://body-studio.ru/?utm_source=yandex_maps,Сочи
Am Style,+7 (918) 309-65-98,Салоны красоты,[],Сочи
Ювина,+7 (965) 478-21-72,Салоны красоты,[],Сочи
Beauty expert,+7 (988) 185-70-70,Салоны красоты,[],Сочи
Рось,+7 (862) 254-40-55,Парикмахерские,[],Сочи
Stars Nails,+7 (938) 445-35-55,Ногтевые студии,http://starsnails.ru/,Сочи
Салон красоты,+7 (918) 305-39-00,Салоны красоты,[],Сочи
