company_name,company_number,category,website,
Секрет,+7 (900) 698-18-18,Салоны красоты,[],Брянск
Салон красоты Красотория,+7 (4832) 77-21-21,Салоны красоты,http://www.krasotoriya.ru/,Брянск
Секрет,+7 (4832) 51-05-05,Салоны красоты,[],Брянск
Matreshka,+7 (4832) 59-62-59,Салоны красоты,http://matreshka32.ru/,Брянск
Салон красоты Selebrity,+7 (953) 282-71-70,Салоны красоты,[],Брянск
4rest,+7 (980) 300-05-90,Салоны красоты,https://4rest-salon.ru/?utm_source=yandex_maps,Брянск
Модная Цирюльня,+7 (4832) 41-04-83,Салоны красоты,https://modnaya-tsiryulnya.ru/?utm_source=yandex_maps,Брянск
Бьютис,+7 (4832) 30-40-40,Салоны красоты,https://salon-beautys.ru/,Брянск
Салон красоты Enjoy,+7 (4832) 34-30-01,Салоны красоты,https://enjoy-centr.ru/,Брянск
Салон красоты БонЖур,+7 (4832) 59-51-50,Салоны красоты,[],Брянск
Yes,+7 (4832) 34-10-32,Салоны красоты,[],Брянск
Клубничные усы,+7 (4832) 30-24-03,Салоны красоты,[],Брянск
Skiss,+7 (980) 309-50-52,Салоны красоты,[],Брянск
Magic,+7 (4832) 30-31-51,Салоны красоты,[],Брянск
Радо,+7 (980) 313-40-04,Салоны красоты,[],Брянск
Медея,+7 (953) 290-29-00,Салоны красоты,[],Брянск
Малина,+7 (4832) 77-01-08,Салоны красоты,[],Брянск
Сливки,+7 (4832) 30-34-44,Салоны красоты,[],Брянск
Империя Красоты,+7 (4832) 69-47-11,Салоны красоты,http://империя-красоты32.рф/,Брянск
Салон красоты Ирины Михалёвой,+7 (4832) 37-16-19,Салоны красоты,[],Брянск
Perlamutr,+7 (910) 743-60-19,Салоны красоты,https://perlamutr-centr.ru/?utm_source=yandex_maps,Брянск
Fashion&style,+7 (4832) 30-30-55,Салоны красоты,[],Брянск
Osoba,+7 (4832) 42-02-98,Салоны красоты,[],Брянск
Mood,+7 (999) 705-00-04,Салоны красоты,https://mood-moskovskij-prospekt.clients.site/,Брянск
Фьюжен,+7 (953) 288-11-58,Салоны красоты,[],Брянск
Ваш Стиль,+7 (920) 864-16-12,Салоны красоты,[],Брянск
Таир,+7 (980) 300-09-89,Салоны красоты,[],Брянск
Центр подологии Т. Исачковой,+7 (961) 002-34-52,Подология,http://allabella32.ru/,Брянск
Эвелин,+7 (905) 103-10-38,Салоны красоты,[],Брянск
