company_name,company_number,category,website
L'Oreal Professionnel & Kerastase,+7 (4932) 37-37-95,Салоны красоты,https://www.lpro37.ru/,Иваново
Chikano_studio,+7 (910) 695-54-91,Салоны красоты,https://chikano-studio.clients.site/,Иваново
BeautyMak,+7 (902) 242-99-01,Салоны красоты,[],Иваново
VIP Студия,+7 (910) 683-88-28,Салоны красоты,https://dikidi.net/501227,Иваново
Viarti,+7 (915) 843-06-14,Салоны красоты,https://dikidi.ru/ru/profile/studiya_krasoty_viarti_341823/?ysclid=ls4nhvmg3720877646,Иваново
Глянец,+7 (4932) 32-88-56,Салоны красоты,https://taplink.cc/glyanec_studia,Иваново
Репаблика салон,+7 (4932) 47-16-20,Салоны красоты,[],Иваново
Celebrity,+7 (910) 690-37-87,Салоны красоты,http://celebrity-salon.ru/,Иваново
Малибу,+7 (4932) 30-70-62,Салоны красоты,[],Иваново
Формула стиля,+7 (920) 365-07-25,Салоны красоты,https://taplink.cc/formula_stilya37,Иваново
Философия красоты,+7 (4932) 93-44-55,Косметология,[],Иваново
Zebra,+7 (4932) 49-70-70,Салоны красоты,https://zebra-nails-beauty.obiz.ru/?utm_source=yandex_maps,Иваново
Центр Красоты,+7 (4932) 92-94-25,Салоны красоты,[],Иваново
Людмила,+7 (910) 018-23-76,Салоны красоты,https://lyudmila-salon.ru/?utm_source=yandex_maps,Иваново
Миллениум,+7 (4932) 34-57-88,Косметология,https://millenium37.ru/?utm_source=yasprav,Иваново
Наращивание волос,+7 (915) 836-99-74,Наращивание волос,https://care4hair.turbo.site/,Иваново
Professional,+7 (4932) 41-17-80,Салоны красоты,[],Иваново
Ведьма,+7 (920) 354-68-80,Салоны красоты,[],Иваново
Beauty Pro,+7 (4932) 92-00-00,Салоны красоты,http://www.beauty-ivanovo.ru/,Иваново
GloryЯ,+7 (930) 330-10-66,Салоны красоты,[],Иваново
Акварель,+7 (910) 985-69-33,Салоны красоты,[],Иваново
Matrix,+7 (4932) 27-18-51,Салоны красоты,[],Иваново
Букли,+7 (4932) 50-28-50,Салоны красоты,[],Иваново
Локо Стиль,+7 (4932) 22-20-22,Салоны красоты,[],Иваново
Хвоя,+7 (920) 363-07-91,Салоны красоты,https://dikidi.net/185825,Иваново
Pudra,+7 (4932) 50-10-01,Салоны красоты,[],Иваново
Butterfly,+7 (4932) 30-54-01,Салоны красоты,https://butterflay.turbo.site/,Иваново
Moloko,+7 (915) 818-22-20,Салоны красоты,http://dikidi.ru/1391648,Иваново
Культура Анвари,+7 (910) 699-69-76,Салоны красоты,http://mssg.me/culture.anvari,Иваново
ЛакМусс,+7 (4932) 95-28-88,Салоны красоты,[],Иваново
Салон красоты Ольги Широковой,+7 (4932) 34-35-04,Салоны красоты,[],Иваново
Студия ТТ,+7 (905) 109-44-54,Косметология,[],Иваново
Avenue,+7 (962) 155-33-24,Салоны красоты,http://salonavenue.tilda.ws/,Иваново
Бьюти Дизайн,+7 (920) 379-30-30,Салоны красоты,https://hipolink.me/by_beauty_design,Иваново
М-Студио,+7 (4932) 28-12-13,Салоны красоты,[],Иваново
Milana,+7 (901) 690-72-92,Салоны красоты,[],Иваново
Локо Стиль,+7 (4932) 22-60-22,Салоны красоты,[],Иваново
Santa Barbara,+7 (4932) 30-01-82,Салоны красоты,[],Иваново
Yoursug,+7 (915) 829-23-92,Салоны красоты,https://yoursug.ru/,Иваново
Кутюр,+7 (910) 994-21-21,Салоны красоты,[],Иваново
Мармелад,+7 (4932) 50-39-03,Салоны красоты,[],Иваново
Колибри,+7 (4932) 38-44-38,Салоны красоты,[],Иваново
Амедис,+7 (901) 681-69-63,Салоны красоты,[],Иваново
