company_name,company_number,category,website,
Ольга delight,+7 (964) 680-00-15,Салоны красоты,https://taplink.cc/olga_delight_murmansk,Мурманск
Ольга,+7 (960) 026-01-91,Салоны красоты,http://salons-olga.com/olganew,Мурманск
Ольга de luxe,+7 (964) 680-66-55,Салоны красоты,[],Мурманск
Ольга style,+7 (8152) 68-74-33,Салоны красоты,[],Мурманск
Планета SPA,+7 (8152) 45-13-00,Салоны красоты,[],Мурманск
A&j,+7 (921) 271-70-30,Салоны красоты,https://clinic-aj.ru/,Мурманск
Dnk,+7 (8152) 70-57-02,Салоны красоты,[],Мурманск
Виола,+7 (8152) 52-99-99,Салоны красоты,[],Мурманск
DM Studio,+7 (900) 934-77-77,Салоны красоты,http://dmstudiopro.ru/,Мурманск
Северянка,+7 (8152) 41-09-86,Салоны красоты,[],Мурманск
Салон красоты Таис,+7 (911) 336-61-88,Салоны красоты,[],Мурманск
Бигуди,+7 (8152) 75-41-11,Салоны красоты,[],Мурманск
Brow Bar,+7 (8152) 60-90-10,Салоны красоты,[],Мурманск
Laroom,+7 (911) 346-46-17,Салоны красоты,https://taplink.cc/kafelaroom,Мурманск
Бовуар,+7 (921) 163-44-16,Салоны красоты,http://www.bovuar51.ru/,Мурманск
Эффект,+7 (8152) 60-06-25,Парикмахерские,[],Мурманск
Людмила,+7 (911) 303-51-93,Салоны красоты,[],Мурманск
Красафчики,+7 (8152) 78-45-00,Детские салоны-парикмахерские,http://murmansk.krasafchiki.ru/,Мурманск
ABC,+7 (8152) 43-00-11,Салоны красоты,http://abc51.ru/,Мурманск
Esthetic room by Evelina Stolbova,+7 (902) 281-08-10,Салоны красоты,https://vk.link/narashivanievolosmurmansk51/?utm_source=yandex_maps,Мурманск
Ты и Я,+7 (8152) 45-49-20,Парикмахерские,http://gidlook.com/ty-i-ya,Мурманск
Мартини,+7 (8152) 45-49-20,Салоны красоты,http://dikidi.net/513655?p=0.pi,Мурманск
Парикмахерская Монро,+7 (953) 306-38-45,Парикмахерские,[],Мурманск
Прически,+7 (8152) 45-29-77,Парикмахерские,http://gidlook.com/pricheski,Мурманск
Комплимент,+7 (8152) 27-61-76,Парикмахерские,[],Мурманск
Студия 54,+7 (995) 879-44-34,Салоны красоты,[],Мурманск
Седьмое небо,+7 (953) 750-19-87,Коворкинг,[],Мурманск
Живица,+7 (902) 281-00-47,Салоны красоты,https://cosmetolog51.ru/,Мурманск
Салон красоты Амина,+7 (8152) 52-49-09,Салоны красоты,[],Мурманск
Фея,+7 (8152) 27-75-25,Парикмахерские,[],Мурманск
НюТон,+7 (952) 292-13-95,Салоны красоты,[],Мурманск
Тесея,+7 (964) 681-20-14,Салоны красоты,[],Мурманск
Парикмахерская Визит,+7 (8152) 27-59-96,Парикмахерские,http://gidlook.com/vizit-1,Мурманск
Леди и джентельмены,+7 (8152) 41-19-44,Парикмахерские,[],Мурманск
Эдем,+7 (8152) 52-42-21,Салоны красоты,[],Мурманск
Бронзарий,+7 (953) 303-92-06,Салоны красоты,[],Мурманск
Ирина,+7 (8152) 24-88-56,Парикмахерские,[],Мурманск
Аура Волос,+7 (908) 607-66-88,Салоны красоты,[],Мурманск
Natanail51,+7 (911) 304-49-05,Салоны красоты,[],Мурманск
Pro estetica,+7 (981) 300-00-10,Салоны красоты,[],Мурманск
Салон красоты Диана,+7 (8152) 24-49-63,Парикмахерские,[],Мурманск
Эстель,+7 (8152) 53-17-83,Салоны красоты,[],Мурманск
Мисс по,+7 (902) 130-95-91,Салоны красоты,[],Мурманск
Бьюти-хаус Lakme,+7 (964) 307-99-81,Салоны красоты,http://www.lakmerussia.ru/,Мурманск
Рамина,+7 (8152) 25-34-39,Салоны красоты,[],Мурманск
Soroka,+7 (950) 893-07-54,Салоны красоты,[],Мурманск
Grimerka,+7 (911) 304-98-81,Салоны красоты,[],Мурманск
L D studio,+7 (911) 325-92-52,Салоны красоты,[],Мурманск
Колибри,+7 (996) 348-86-08,Салоны красоты,[],Мурманск
Art nouveau,+7 (921) 708-34-83,Салоны красоты,[],Мурманск
Барбершоп 7,+7 (8152) 20-29-55,Барбершопы,[],Мурманск
Точка красоты,+7 (8152) 53-42-23,Парикмахерские,[],Мурманск
Bo Nails,+7 (911) 320-14-14,Ногтевые студии,[],Мурманск
Delight colour bar,+7 (911) 309-41-02,Салоны красоты,[],Мурманск
Серж плюс,+7 (8152) 45-30-22,Парикмахерские,[],Мурманск
Beauty Magia,+7 (953) 306-30-03,Салоны красоты,[],Мурманск
Имидж Мастер,+7 (8152) 52-40-20,Парикмахерские,[],Мурманск
Graf_Kutikula,+7 (921) 666-21-51,Салоны красоты,[],Мурманск
Салон красоты,+7 (911) 341-61-83,Шугаринг,[],Мурманск
#Vsegladko,+7 (953) 302-12-34,"Эпиляция, депиляция",[],Мурманск
Golden Hair,+7 (911) 300-15-07,Наращивание волос,[],Мурманск
Студия красоты Ларисы Володиной,+7 (921) 286-10-71,Курсы для салонов красоты,http://larisavolodina.tilda.ws/,Мурманск
Первая,+7 (8152) 22-68-88,Парикмахерские,[],Мурманск
Перманентный макияж от Анны Ковальчук,+7 (921) 274-84-54,Салоны красоты,[],Мурманск
Локон,+7 (8152) 43-48-63,Парикмахерские,[],Мурманск
Бьюти-студия Ульяны Самылиной,+7 (953) 750-20-96,Салоны бровей и ресниц,[],Мурманск
Льзя,+7 (911) 342-48-99,Салоны красоты,https://dikidi.app/18792,Мурманск
Easy slip,+7 (964) 309-70-00,"Эпиляция, депиляция",https://easyslip.ru/,Мурманск
Golyamina wedding beauty studio,+7 (911) 312-88-08,Салоны красоты,[],Мурманск
ДелайТело,+7 (911) 300-25-56,Салоны красоты,http://vk.link/delaytelo_51,Мурманск
Beauty Room,+7 (921) 156-50-11,Салоны красоты,[],Мурманск
Атмосфера Красоты,+7 (953) 754-55-45,Салоны красоты,[],Мурманск
Натали,+7 (921) 511-73-25,Парикмахерские,[],Мурманск
La_Belle,+7 (921) 271-62-95,Салоны красоты,[],Мурманск
Boyko центр Подологии,+7 (911) 300-21-40,Ногтевые студии,[],Мурманск
Beauty Studio RestArt,+7 (921) 168-77-85,Салоны красоты,[],Мурманск
Подолог 51,+7 (909) 559-84-34,Подология,https://vk.ru/podolog51,Мурманск
