company_name,company_number,category,website,
Салон красоты,+7 (8652) 26-24-79,Салоны красоты,[],Ставрополь
Blonde,+7 (968) 268-58-75,Салоны красоты,[],Ставрополь
Империя,+7 (8652) 25-00-44,Салоны красоты,https://imperija-partizanskaja-ulitsa.clients.site/,Ставрополь
Радуга,+7 (8652) 63-17-16,Салоны красоты,[],Ставрополь
Семейный,+7 (8652) 99-70-50,Салоны красоты,http://салон-красоты-семейный.рф/,Ставрополь
Divictori Studio,+7 (8652) 45-17-04,Салоны красоты,https://dikidi.net/1430134,Ставрополь
Fashion look,+7 (8652) 71-18-88,Салоны красоты,[],Ставрополь
ЦирюльникЪ,+7 (962) 449-76-49,Салоны красоты,https://salon-hair.ru/,Ставрополь
Элита,+7 (961) 455-69-69,Салоны красоты,[],Ставрополь
VIktoria Kochka,+7 (962) 430-50-59,Салоны красоты,[],Ставрополь
Бюро красоты,+7 (962) 444-10-44,Салоны красоты,[],Ставрополь
Estel studio Stavropol,+7 (909) 772-17-18,Салоны красоты,[],Ставрополь
Beauty,+7 (8652) 37-32-00,Салоны красоты,[],Ставрополь
Muse,+7 (905) 465-44-99,Ногтевые студии,https://muse-ulitsa-pirogova.clients.site/,Ставрополь
Platinum,+7 (961) 448-41-28,Салоны красоты,[],Ставрополь
Хлоя,+7 (962) 440-42-44,Салоны красоты,[],Ставрополь
Satare,+7 (8652) 23-93-14,Салоны красоты,[],Ставрополь
Infinium,+7 (962) 446-10-30,Салоны красоты,[],Ставрополь
Endorfin,+7 (8652) 42-50-24,Салоны красоты,[],Ставрополь
Make me Bright,+7 (962) 400-90-72,Салоны красоты,[],Ставрополь
Тиара,+7 (8652) 93-60-93,Салоны красоты,[],Ставрополь
Mohito,+7 (928) 368-22-26,Салоны красоты,https://taplink.cc/mohito.stv,Ставрополь
Кудри,+7 (962) 426-06-29,Салоны красоты,[],Ставрополь
Pigment,+7 (928) 363-02-93,Салоны красоты,[],Ставрополь
Status,+7 (8652) 21-13-07,Ногтевые студии,[],Ставрополь
Отражение,+7 (8652) 95-90-95,Салоны красоты,[],Ставрополь
Evo SPA,+7 (8652) 99-06-99,Спа-салоны,https://evospa.ru/,Ставрополь
Мишель,+7 (8652) 56-39-69,Салоны красоты,[],Ставрополь
Лилия,+7 (928) 325-13-58,Салоны красоты,[],Ставрополь
Хит стрижка,+7 (918) 786-48-00,Салоны красоты,[],Ставрополь
Hair club,+7 (928) 304-98-88,Салоны красоты,[],Ставрополь
VIA,+7 (962) 459-90-62,Салоны красоты,[],Ставрополь
Татьяна,+7 (8652) 35-05-95,Салоны красоты,[],Ставрополь
Де-Ко-Рум,+7 (8652) 94-15-19,Косметология,[],Ставрополь
Аваланш,+7 (962) 499-85-29,Салоны красоты,[],Ставрополь
Se,+7 (962) 498-59-83,Салоны красоты,[],Ставрополь
Каприз,+7 (8652) 61-95-53,Салоны красоты,[],Ставрополь
Крашэ,+7 (909) 767-46-46,Ногтевые студии,[],Ставрополь
Dirty beauty,+7 (988) 853-76-43,Салоны красоты,[],Ставрополь
Лилия,+7 (8652) 29-66-15,Парикмахерские,[],Ставрополь
Афродита,+7 (8652) 62-64-89,Салоны красоты,[],Ставрополь
Best,+7 (918) 791-18-99,Салоны красоты,[],Ставрополь
Lime,+7 (962) 451-91-01,Салоны красоты,[],Ставрополь
Loft Studio Dg,+7 (962) 452-87-58,Ногтевые студии,https://loft-studio-dg.taplink.ws/,Ставрополь
Королевство красоты,+7 (962) 442-54-16,Салоны красоты,[],Ставрополь
Дианы Гаджиевой,+7 (962) 447-97-17,Салоны красоты,[],Ставрополь
Victoria,+7 (928) 305-23-00,Салоны красоты,[],Ставрополь
Аверо,+7 (8652) 55-10-86,Салоны красоты,[],Ставрополь
Феличита,+7 (962) 447-55-40,Салоны красоты,http://www.felicita26.ru/,Ставрополь
Vogue,+7 (8652) 67-17-18,Салоны красоты,[],Ставрополь
V. Studio,+7 (961) 455-56-69,Салоны красоты,[],Ставрополь
Красивые люди,+7 (905) 441-21-85,Салоны красоты,[],Ставрополь
Золотые ручки,+7 (8652) 69-48-35,Салоны красоты,[],Ставрополь
Новая Я,+7 (962) 011-77-63,Салоны красоты,[],Ставрополь
Savanna,+7 (928) 322-41-33,Салоны красоты,[],Ставрополь
Монро,+7 (962) 016-99-98,Салоны красоты,[],Ставрополь
Эль,+7 (8652) 62-28-62,Парикмахерские,[],Ставрополь
Валентина-С,+7 (8652) 35-84-84,Салоны красоты,[],Ставрополь
Lusia,+7 (8652) 49-66-19,Парикмахерские,[],Ставрополь
Melkumyan Studio,+7 (8652) 59-83-43,Салоны красоты,[],Ставрополь
D. I. Kovinka,+7 (928) 220-80-55,Салоны красоты,[],Ставрополь
Исабаль,+7 (8652) 67-06-57,Салоны красоты,[],Ставрополь
Malesthetic,+7 (8652) 47-67-47,Парикмахерские,[],Ставрополь
Апгрейд,+7 (919) 757-37-67,Салоны красоты,[],Ставрополь
Студия красоты,+7 (8652) 28-37-00,Парикмахерские,[],Ставрополь
Глянец,+7 (8652) 61-00-40,Салоны красоты,[],Ставрополь
Style,+7 (928) 368-56-55,Салоны красоты,[],Ставрополь
Салон ЛюКС,+7 (8652) 26-89-68,Салоны красоты,[],Ставрополь
Отражение,+7 (8652) 45-01-10,Ногтевые студии,[],Ставрополь
Мадемуазель,+7 (961) 453-78-15,Студии перманентного макияжа,[],Ставрополь
Восточная сказка,+7 (928) 321-56-51,Салоны красоты,[],Ставрополь
Лис,+7 (8652) 23-49-29,Салоны красоты,[],Ставрополь
Зебра,+7 (8652) 35-54-09,Парикмахерские,[],Ставрополь
Ptichka,+7 (8652) 60-50-40,Ногтевые студии,[],Ставрополь
Mohito,+7 (928) 968-22-26,Салоны красоты,[],Ставрополь
Столица,+7 (8652) 26-02-42,Спа-салоны,[],Ставрополь
Аристократ,+7 (928) 320-99-67,Салоны красоты,[],Ставрополь
ELBeauty,+7 (928) 309-27-78,Салоны красоты,[],Ставрополь
Amazonia,+7 (928) 310-66-55,Салоны красоты,[],Ставрополь
Angel,+7 (928) 010-16-88,Салоны красоты,[],Ставрополь
Fantasy,+7 (962) 440-00-29,Салоны красоты,[],Ставрополь
Family club,+7 (909) 758-72-88,Салоны красоты,[],Ставрополь
Teva studio,+7 (933) 177-70-46,Салоны красоты,[],Ставрополь
A-zone,+7 (906) 490-70-50,Ногтевые студии,[],Ставрополь
Salon be Elizabeth,+7 (918) 770-18-88,Салоны красоты,[],Ставрополь
Элен,+7 (961) 477-00-90,Салоны красоты,[],Ставрополь
Кокетка,+7 (928) 812-52-55,Парикмахерские,[],Ставрополь
Женева,+7 (8652) 55-25-67,Салоны красоты,[],Ставрополь
Квезаль,+7 (962) 444-82-82,Салоны красоты,[],Ставрополь
Царица,+7 (962) 451-97-80 (доб. Основной),Парикмахерские,[],Ставрополь
Студия Марины Мироновой,+7 (962) 400-24-80,Салоны красоты,[],Ставрополь
Афина,+7 (8652) 60-37-73,Парикмахерские,[],Ставрополь
Крылья,+7 (8652) 67-34-77,Салоны красоты,[],Ставрополь
Элегант Плюс,+7 (8652) 23-60-33,Курсы,[],Ставрополь
Beauty'O,+7 (928) 361-15-01,Салоны красоты,[],Ставрополь
Bon Salon,+7 (968) 267-07-70,Массажисты,[],Ставрополь
Магия,+7 (962) 404-35-42,Парикмахерские,[],Ставрополь
Фурор,+7 (961) 450-45-51,Салоны красоты,[],Ставрополь
А. Эстетик,+7 (8652) 35-23-52,Косметология,http://aestetik55.ru/,Ставрополь
Цирюльникъ,+7 (988) 111-44-68,Салоны красоты,[],Ставрополь
Премиум,+7 (964) 038-15-35,Салоны красоты,[],Ставрополь
Валенсия,+7 (962) 015-89-00,Салоны красоты,[],Ставрополь
Ногтевой центр Светланы Ким,+7 (8652) 21-06-05,Салоны красоты,[],Ставрополь
Центр красоты и здоровья,+7 (8652) 58-31-92,Салоны красоты,http://center-st.org/,Ставрополь
J'adore,+7 (8652) 73-15-16,Салоны красоты,[],Ставрополь
Лотос,+7 (988) 731-39-57,Салоны красоты,[],Ставрополь
Колибри,+7 (8652) 24-49-32,Парикмахерские,[],Ставрополь
Валенсия,+7 (8652) 42-22-72,Салоны красоты,[],Ставрополь
Sahar&Vosk,+7 (988) 735-33-97,Салоны красоты,http://saharvosk.ru/,Ставрополь
Парикмахерская Анны Саенко,+7 (962) 412-22-66,Салоны красоты,[],Ставрополь
Фея,+7 (988) 701-47-60,Ногтевые студии,[],Ставрополь
София,+7 (928) 327-23-93,Салоны красоты,[],Ставрополь
Юлианна,+7 (918) 766-54-69,Парикмахерские,[],Ставрополь
Для всей семьи,+7 (8652) 93-54-04,Парикмахерские,[],Ставрополь
КрасотУля,+7 (919) 730-85-24,Салоны красоты,https://taplink.cc/krasot_ulia,Ставрополь
Колорит,+7 (988) 734-50-00,Салоны красоты,[],Ставрополь
Лаванда,+7 (928) 321-16-25,Салоны красоты,https://lavanda-ulitsa-tuhachevskogo.clients.site/,Ставрополь
Almond,+7 (968) 267-72-24,Ногтевые студии,[],Ставрополь
Лиана,+7 (962) 434-21-43,Парикмахерские,[],Ставрополь
Имидж,+7 (8652) 45-72-02,Салоны красоты,[],Ставрополь
Art image,+7 (928) 266-90-66,Салоны красоты,[],Ставрополь
Студия красоты Влада Гарамова,+7 (962) 445-00-99,Салоны красоты,[],Ставрополь
Beauty Time,+7 (963) 385-91-16,Салоны красоты,[],Ставрополь
Цирюльникъ,+7 (906) 489-74-92,Парикмахерские,[],Ставрополь
ArtStudio,+7 (961) 480-91-20,Салоны красоты,[],Ставрополь
Backstage,+7 (962) 413-10-09,Салоны красоты,[],Ставрополь
Belle Viee,+7 (919) 742-23-48,Парикмахерские,[],Ставрополь
Barbados,+7 (968) 266-04-55,Барбершопы,https://barbados-stav.turbo.site/,Ставрополь
Креатив,+7 (962) 452-84-34,Салоны красоты,[],Ставрополь
Beauty family,+7 (8652) 63-13-53,Салоны красоты,[],Ставрополь
V. Milkoni,+7 (8652) 45-18-08,Салоны красоты,[],Ставрополь
Art,+7 (905) 497-99-02,Салоны красоты,[],Ставрополь
Nika. Ck Studio,+7 (962) 450-53-59,Салоны красоты,[],Ставрополь
Uno Beauty,+7 (928) 348-08-36,Салоны красоты,https://taplink.cc/fatima.hairstylist,Ставрополь
Марафет,+7 (988) 761-25-69,Салоны красоты,[],Ставрополь
Solo,+7 (962) 403-50-81,Парикмахерские,[],Ставрополь
Britanika beauty,+7 (962) 451-30-00,Ногтевые студии,https://taplink.cc/britanika,Ставрополь
S. beauty,+7 (989) 986-97-93,Салоны красоты,[],Ставрополь
Миелофон,+7 (962) 453-36-15,Салоны красоты,[],Ставрополь
Лохматая Ворона,+7 (988) 701-76-21,Салоны красоты,[],Ставрополь
HairSalon,+7 (928) 305-44-89,Салоны красоты,[],Ставрополь
Милена,+7 (918) 743-05-57,Парикмахерские,[],Ставрополь
Elena's style,+7 (905) 467-39-84,Салоны красоты,[],Ставрополь
Орхидея,+7 (8652) 77-36-33,Парикмахерские,[],Ставрополь
Джульетта,+7 (928) 301-02-50,Парикмахерские,[],Ставрополь
I. Glonti,+7 (968) 270-28-88,Салоны красоты,[],Ставрополь
Академия лица,+7 (962) 498-00-88,Салоны красоты,https://dikidi.net/566457,Ставрополь
Мир Красоты,+7 (8652) 55-00-85,Салоны красоты,[],Ставрополь
Парикмахерская,+7 (906) 441-22-36,Салоны красоты,[],Ставрополь
Honey studio,+7 (919) 755-33-35,Салоны красоты,[],Ставрополь
Анастасия,+7 (996) 417-89-58,Салоны красоты,[],Ставрополь
Solo,+7 (8652) 76-23-99,Салоны красоты,[],Ставрополь
Лилия,+7 (962) 442-33-63,Парикмахерские,[],Ставрополь
Клевер,+7 (962) 442-08-80,Бьюти-коворкинг,https://klever-coworking.ru/,Ставрополь
Nude,+7 (918) 776-02-42,Салоны красоты,[],Ставрополь
Клюква,+7 (968) 268-55-59,Салоны красоты,[],Ставрополь
Имидж,+7 (8652) 94-04-74,Салоны красоты,[],Ставрополь
Воображуля,+7 (8652) 41-37-37,Парикмахерские,[],Ставрополь
Mohito,+7 (909) 770-70-09,Ногтевые студии,[],Ставрополь
Organic,+7 (918) 796-01-01,Салоны красоты,https://organic-stav.ru/,Ставрополь
Ideal brows,+7 (988) 708-44-08,Салоны красоты,https://ideal-brows.online/,Ставрополь
Идеал,+7 (938) 651-17-47,Салоны красоты,[],Ставрополь
Pro Ногти,+7 (961) 445-91-54,Салоны красоты,[],Ставрополь
Эфи,+7 (909) 772-25-33,Парикмахерские,[],Ставрополь
Bellucci,+7 (8652) 47-34-73,Салоны красоты,[],Ставрополь
На стиле,+7 (962) 434-25-26,Салоны красоты,[],Ставрополь
Tebe Ponravitsya,+7 (962) 402-61-80,Салоны красоты,http://makeupellisen.tilda.ws/?fbclid=PAZXh0bgNhZW0CMTEAAabj7HkINRZB9_wfwp8TmUeNyhS8so8OwSm7kaRzk6BGNszj8jQmxMRdcos_aem_q9RxV0PgN2dysuNS4btNlQ,Ставрополь
Gaponova Studio,+7 (905) 418-50-15,Салоны красоты,[],Ставрополь
Dioso beauty,+7 (989) 986-42-54,Салоны красоты,[],Ставрополь
Веларди,+7 (962) 447-77-27,Салоны красоты,[],Ставрополь
Brusnika,+7 (968) 279-87-78,Салоны красоты,[],Ставрополь
Nails & Brows,+7 (918) 770-28-31,Салоны красоты,[],Ставрополь
В образе,+7 (905) 442-11-78,Салоны красоты,[],Ставрополь
Салон красоты,+7 (961) 497-57-57,Салоны красоты,[],Ставрополь
Студия красоты Шацких Галины,+7 (961) 491-61-17,Салоны красоты,[],Ставрополь
Beauty,+7 (963) 381-66-10,Салоны красоты,[],Ставрополь
Keratindream,+7 (918) 888-11-91,Салоны красоты,https://mst.link/keratindream,Ставрополь
E-Lit studio,+7 (8652) 74-44-24,Салоны красоты,[],Ставрополь
Sova,+7 (933) 179-07-57,Салоны красоты,[],Ставрополь
SPA-Face,+7 (988) 840-77-77,Салоны красоты,https://spa-face-ulitsa-tuhachevskogo.clients.site/,Ставрополь
K-beauty,+7 (968) 268-50-59 (доб. +7 (968) 266-33-20),Салоны красоты,[],Ставрополь
Царица Тамара,+7 (903) 428-41-22,Салоны красоты,[],Ставрополь
Arpi Saakyan,+7 (961) 466-27-21,Салоны красоты,[],Ставрополь
Особняк красоты,+7 (968) 277-07-70,Салоны красоты,[],Ставрополь
Olivia,+7 (988) 091-30-30,Салоны красоты,[],Ставрополь
Феникс,+7 (928) 007-70-28,Парикмахерские,[],Ставрополь
Silk way,+7 (928) 321-19-33,Салоны красоты,http://ekaterinaabaneeva.wixsite.com/silkway-1,Ставрополь
Цирюльникъ,+7 (906) 489-75-20,Парикмахерские,https://salon-hair.ru/,Ставрополь
Салон красоты,+7 (961) 448-82-39,Салоны красоты,[],Ставрополь
Малибу,+7 (8652) 94-03-69,Солярии,[],Ставрополь
Территория идеального тела For You,+7 (999) 497-44-03,Салоны красоты,[],Ставрополь
Летай,+7 (918) 775-27-95,Салоны красоты,[],Ставрополь
Зазеркалье,+7 (8652) 73-31-76,Салоны красоты,[],Ставрополь
Beauty band,+7 (8652) 61-93-80,Ногтевые студии,[],Ставрополь
Happy Studio,+7 (962) 004-14-44,Салоны красоты,[],Ставрополь
Velour,+7 (905) 441-11-76,Косметология,https://taplink.cc/velour_studio_,Ставрополь
Жатэ Gold,+7 (989) 995-64-44,Салоны красоты,[],Ставрополь
Mishelle. style,+7 (988) 115-97-77,Салоны красоты,https://mishelle-style.clients.site/,Ставрополь
Salon vertat,+7 (962) 440-15-96,Салоны красоты,[],Ставрополь
Hairmania,+7 (968) 265-56-62,Парикмахерские,[],Ставрополь
Glukoza,+7 (918) 787-08-99,Салоны красоты,[],Ставрополь
ЛидиЛик,+7 (988) 089-85-49,Косметология,http://lidilicst.tilda.ws/,Ставрополь
Nabokova,+7 (918) 761-67-89,Салоны красоты,[],Ставрополь
Estetic Lab by Arpi Sarksyan,+7 (903) 478-21-09,Салоны красоты,[],Ставрополь
Keratin. margo_stavropol,+7 (918) 877-91-51,Парикмахерские,[],Ставрополь
Beautiful me studio,+7 (961) 471-92-82,Салоны красоты,[],Ставрополь
Malina,+7 (8652) 90-38-40,Парикмахерские,[],Ставрополь
Bardakova Studio,+7 (918) 884-41-81,Салоны красоты,[],Ставрополь
Aruti_nail,+7 (928) 322-11-77,Салоны красоты,[],Ставрополь
Brow City Studio,+7 (977) 015-81-02,Салоны красоты,[],Ставрополь
Persona,+7 (8652) 66-40-09,Салоны красоты,[],Ставрополь
Fzm,+7 (909) 773-52-11,Салоны красоты,[],Ставрополь
K & M,+7 (928) 929-30-40,Салоны красоты,[],Ставрополь
By Albina vykkovanets,+7 (928) 970-55-55,Салоны красоты,[],Ставрополь
Ed,+7 (909) 772-17-72,Салоны красоты,[],Ставрополь
BeNice,+7 (962) 011-88-49,Салоны красоты,[],Ставрополь
АтуА,+7 (928) 638-25-58,Салоны красоты,[],Ставрополь
Территория маникюра,+7 (903) 444-95-49,Ногтевые студии,[],Ставрополь
Its_Baze,+7 (905) 493-91-33,Салоны красоты,https://link.tetradka.io/online/its_baze,Ставрополь
Mafia of beauty,+7 (961) 466-00-09,Салоны красоты,[],Ставрополь
Забавы ради,+7 (928) 222-45-04,Салоны красоты,[],Ставрополь
Hair studio,+7 (961) 452-88-32,Салоны красоты,https://dikidi.net/1334532,Ставрополь
Bananzza beauty academy,+7 (962) 453-19-91,Салоны красоты,[],Ставрополь
Пруха,+7 (961) 456-75-75,Ногтевые студии,[],Ставрополь
Dilemma Brows,+7 (962) 402-02-60,Салоны красоты,[],Ставрополь
Студия окрашивания волос,+7 (988) 849-14-84,Салоны красоты,[],Ставрополь
Vanilla_studio,+7 (928) 293-51-21,Салоны красоты,[],Ставрополь
Эйва,+7 (906) 493-08-03,Салоны красоты,[],Ставрополь
Студия красоты Милы Ситниковой,+7 (928) 010-77-69,Салоны красоты,[],Ставрополь
Md Beauty,+7 (962) 495-74-99,Салоны красоты,[],Ставрополь
Студия красивых волос,+7 (988) 760-04-35,Салоны красоты,[],Ставрополь
