организация,телефон,вид деятельности,сайт,
Вольный Стиль,+7 (4752) 56-32-90,Салоны красоты,https://volnyj-stil.obiz.ru/?utm_source=yandex_maps,Тамбов
Маэстро,+7 (4752) 71-03-21,Салоны красоты,[],Тамбов
Краса бьюти бар,+7 (953) 708-10-10,Салоны красоты,[],Тамбов
O&k,+7 (902) 722-60-22,Салоны красоты,[],Тамбов
Dato,+7 (915) 675-48-75,Салоны красоты,[],Тамбов
Marafette,+7 (915) 886-73-37,Салоны красоты,[],Тамбов
Отражение,+7 (4752) 70-30-80,Салоны красоты,http://zerkalotmb.ru/,Тамбов
Аура,+7 (953) 716-84-67,Салоны красоты,https://aura-beautystudio.ru/,Тамбов
Beauty bar,+7 (953) 715-14-14,Салоны красоты,http://3dtambov.ru/tours/bbar/tour.html,Тамбов
Vintage,+7 (900) 514-44-46,Салоны красоты,[],Тамбов
Кружево,+7 (910) 750-73-48,Салоны красоты,https://kruzhevo-salon.ru/?utm_source=yandex_maps,Тамбов
First,+7 (4752) 71-69-40,Спа-салоны,[],Тамбов
12 Месяцев,+7 (910) 851-79-02,Салоны красоты,[],Тамбов
Beauty Bar,+7 (962) 230-33-10,Салоны красоты,[],Тамбов
Афина,+7 (902) 730-30-55,Салоны красоты,[],Тамбов
Wella,+7 (4752) 55-97-70,Салоны красоты,[],Тамбов
Галатея,+7 (4752) 47-00-68,Салоны красоты,[],Тамбов
Виктория,+7 (915) 661-31-79,Салоны красоты,https://center-viktoriya.ru/salon-parikmaherskaya_viktoriya_na_michurinskoj_ulitse_78/?utm_source=yandex_maps,Тамбов
Профессионал,+7 (4752) 72-55-14,Салоны красоты,[],Тамбов
Краса,+7 (915) 580-00-02,Парикмахерские,[],Тамбов
Время перемен,+7 (900) 491-34-78,Салоны красоты,[],Тамбов
Зеркало,+7 (910) 751-24-98,Салоны красоты,https://beauty-zerkalo.ru/?utm_source=yandex_maps,Тамбов
The Best,+7 (4752) 71-17-00,Салоны красоты,[],Тамбов
Полис профи,+7 (4752) 56-58-58,Салоны красоты,[],Тамбов
Дива,+7 (4752) 71-32-22,Косметология,https://diva68.ru/,Тамбов
Spaсибо,+7 (4752) 64-45-44,Спа-салоны,[],Тамбов
Артефакт,+7 (4752) 75-54-02,Салоны красоты,[],Тамбов
Академия красоты Дмитрия Троцюка,+7 (4752) 47-67-42,Салоны красоты,[],Тамбов
Луч света,+7 (953) 725-00-84,Парикмахерские,[],Тамбов
Мэл,+7 (4752) 49-48-68,Салоны красоты,[],Тамбов
Облака,+7 (4752) 20-12-35,Салоны красоты,[],Тамбов
Asti,+7 (906) 659-00-03,Салоны красоты,[],Тамбов
Эталон,+7 (4752) 56-00-86,Салоны красоты,[],Тамбов
Притяжение,+7 (920) 475-54-65,Салоны красоты,[],Тамбов
Миндаль,+7 (900) 492-92-30,Салоны красоты,[],Тамбов
Queen,+7 (960) 659-99-94,Салоны красоты,[],Тамбов
Студия Азбука Красоты,+7 (905) 120-47-66,Салоны красоты,[],Тамбов
Белая лилия,+7 (4752) 47-02-25,Салоны красоты,[],Тамбов
Цирюльня,+7 (980) 674-15-42,Парикмахерские,[],Тамбов
Каролина,+7 (900) 518-12-43,Салоны красоты,[],Тамбов
Жемчуг,+7 (902) 727-79-70,Салоны красоты,[],Тамбов
Элени,+7 (953) 716-29-28,Парикмахерские,[],Тамбов
Lisa,+7 (910) 752-88-88,Салоны красоты,[],Тамбов
