company_name,company_number,category,website,
Pinkbeauty,+7 (921) 601-22-99,Салоны красоты,https://pinkbeauty.su/,череповец
Беллиссимо,+7 (8202) 57-61-19,Салоны красоты,[],череповец
Студия красоты Светланы Басковой,+7 (921) 537-63-88,Салоны красоты,[],череповец
Слэш,+7 (921) 145-80-10,Салоны красоты,[],череповец
Центр аппаратной косметологии Формула красоты,+7 (8202) 57-05-05,Косметология,[],череповец
Астория,+7 (921) 252-20-68,Салоны красоты,[],череповец
Салон красоты,+7 (8202) 61-00-04,Салоны красоты,[],череповец
Салон красоты Аквамарин,+7 (8202) 28-94-70,Салоны красоты,[],череповец
Флэш,+7 (8202) 55-04-23,Салоны красоты,[],череповец
Beauty Studio,+7 (964) 673-36-37,Салоны красоты,[],череповец
BESTиЯ,+7 (921) 717-65-12,Салоны красоты,[],череповец
Студия красоты Нюанс,+7 (981) 505-22-10,Салоны красоты,[],череповец
Beauty Time,+7 (911) 505-70-01,Салоны красоты,[],череповец
Май,+7 (8202) 28-64-65,Салоны красоты,[],череповец
Персона,+7 (8202) 62-05-35,Салоны красоты,[],череповец
No Name,+7 (963) 731-02-43,Салоны красоты,https://taplink.cc/no.nameee_35,череповец
Jonny-Gun's Barbershop,+7 (8202) 74-00-75,Салоны красоты,[],череповец
Beauty Room,+7 (8202) 62-52-35,Салоны красоты,[],череповец
Июль,+7 (900) 508-14-18,Салоны красоты,[],череповец
Gudini,+7 (8202) 60-41-14,Салоны красоты,[],череповец
Grimerka,+7 (996) 512-99-96,Салоны красоты,https://grimerka-che.vsite.biz/,череповец
Эдем Премиум,+7 (8202) 52-56-25,Салоны красоты,[],череповец
Мишель,+7 (8202) 24-28-06,Салоны красоты,[],череповец
Вернисаж,+7 (8202) 57-41-47,Салоны красоты,[],череповец
Агами,+7 (911) 505-19-12,Салоны красоты,[],череповец
Европа,+7 (8202) 28-19-79,Салоны красоты,[],череповец
Модный дворик,+7 (8202) 73-22-55,Салоны красоты,[],череповец
Грация,+7 (921) 061-00-08,Фитнес-клубы,[],череповец
Бьюти клаб,+7 (911) 521-97-91,Салоны красоты,[],череповец
Северные Афины,+7 (963) 355-52-79,Салоны красоты,[],череповец
Джаз,+7 (8202) 54-12-06,Салоны красоты,[],череповец
BeautyLab Secret,+7 (8202) 60-76-08,Салоны красоты,[],череповец
Maestro,+7 (953) 505-80-90,Салоны красоты,[],череповец
Манхэттен,+7 (8202) 60-10-03,Салоны красоты,[],череповец
Парикмахерская KornetovaStudio,+7 (911) 505-08-07,Парикмахерские,[],череповец
Vardes,+7 (911) 518-77-38,Салоны красоты,[],череповец
Beauty house Pear,+7 (900) 530-53-57,Салоны красоты,[],череповец
Салон красоты,+7 (953) 504-04-01,Салоны красоты,https://dikidi.net/329977,череповец
Лайм,+7 (8202) 60-42-46,Парикмахерские,[],череповец
Тут стригут,+7 (964) 303-75-66,Парикмахерские,[],череповец
Салон красоты Александры Балаян,+7 (8202) 60-61-09,Салоны красоты,[],череповец
Золотая стрекоза,+7 (921) 253-28-00,Салоны красоты,[],череповец
Лябом,+7 (8202) 24-76-76,Салоны красоты,[],череповец
Easy slip,+7 (960) 017-46-44,"Эпиляция, депиляция",https://lasereasychrp.taplink.ws/,череповец
Karamelka,+7 (921) 542-27-80,Шугаринг,https://dikidi.net/1290778,череповец
Lak nails & beauty,+7 (931) 507-63-91,Ногтевые студии,https://taplink.cc/lak_nails_beauty35,череповец
Laser Love,+7 (965) 737-35-55,"Эпиляция, депиляция",[],череповец
Аригато,+7 (911) 506-00-16,Парикмахерские,[],череповец
Labutina,+7 (8202) 74-22-61,Салоны красоты,[],череповец
Грива,+7 (953) 517-42-14,Салоны красоты,[],череповец
Seven studio,+7 (921) 822-38-81,Салоны красоты,[],череповец
Chili,+7 (981) 449-83-83,Салоны красоты,https://chili-form.ru/,череповец
Beauty Location,+7 (996) 513-05-12,Салоны красоты,[],череповец
